Obesity,,,,ab_c
"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",HMDB0008342,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,4.50 +/- 1.51uM,3.62
"PC(20:2(11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008343,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.83 +/- 3.47uM,4.5
"PC(20:2(11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008343,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,11.27 +/- 4.24uM,8.83
"PC(20:2(11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008344,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,8.83 +/- 3.47uM,11.27
"PC(20:2(11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008344,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,11.27 +/- 4.24uM,8.83
"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008345,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,19.0 +/- 7.8uM,11.27
"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008345,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,24.5 +/- 10.0uM,19
"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008346,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,19.0 +/- 7.8uM,24.5
"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008346,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,24.5 +/- 10.0uM,19
"PC(20:2(11Z,14Z)/22:0)",HMDB0008348,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.165 +/- 0.066uM,24.5
"PC(20:2(11Z,14Z)/22:0)",HMDB0008348,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.170 +/- 0.066uM,0.165
"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",HMDB0008350,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.172 +/- 0.059uM,0.17
"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",HMDB0008350,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.185 +/- 0.060uM,0.172
"PC(20:2(11Z,14Z)/P-16:0)",HMDB0008357,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,192.7 +/- 50.0uM,0.185
"PC(20:2(11Z,14Z)/P-16:0)",HMDB0008357,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,233.6 +/- 68.4uM,192.7
"PC(20:2(11Z,14Z)/P-18:1(11Z))",HMDB0008359,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,43.5 +/- 14.2uM,233.6
"PC(20:2(11Z,14Z)/P-18:1(11Z))",HMDB0008359,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,56.1 +/- 19.7uM,43.5
"PC(20:2(11Z,14Z)/P-18:1(9Z))",HMDB0008360,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,43.5 +/- 14.2uM,56.1
"PC(20:2(11Z,14Z)/P-18:1(9Z))",HMDB0008360,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,56.1 +/- 19.7uM,43.5
"PC(20:3(5Z,8Z,11Z)/14:0)",HMDB0008361,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,13.2 +/- 4.8uM,56.1
"PC(20:3(5Z,8Z,11Z)/14:0)",HMDB0008361,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,16.1 +/- 4.7uM,13.2
"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,1.40 +/- 0.61uM,16.1
"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,1.74 +/- 0.59uM,1.4
"PC(20:3(5Z,8Z,11Z)/16:0)",HMDB0008364,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,108.5 +/- 32.8uM,1.74
"PC(20:3(5Z,8Z,11Z)/16:0)",HMDB0008364,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,132.1 +/- 39.6uM,108.5
"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",HMDB0008365,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,138.6 +/- 39.6uM,132.1
"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",HMDB0008365,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,159.1 +/- 43.5uM,138.6
"PC(20:3(5Z,8Z,11Z)/18:0)",HMDB0008366,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,43.5 +/- 14.2uM,159.1
"PC(20:3(5Z,8Z,11Z)/18:0)",HMDB0008366,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,56.1 +/- 19.7uM,43.5
"PC(20:3(5Z,8Z,11Z)/18:1(11Z))",HMDB0008367,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,88.0 +/- 28.5uM,56.1
"PC(20:3(5Z,8Z,11Z)/18:1(11Z))",HMDB0008367,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,103.8 +/- 31.3uM,88
"PC(20:3(5Z,8Z,11Z)/18:1(9Z))",HMDB0008368,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,103.8
"PC(20:3(5Z,8Z,11Z)/18:1(9Z))",HMDB0008368,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",HMDB0008369,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,39.8 +/- 13.1uM,103.8
"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",HMDB0008369,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,48.5 +/- 15.2uM,39.8
"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,51.9 +/- 20.0uM,48.5
"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,60.5 +/- 21.7uM,51.9
"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,51.9 +/- 20.0uM,60.5
"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,60.5 +/- 21.7uM,51.9
"PC(20:3(5Z,8Z,11Z)/20:0)",HMDB0008373,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.504 +/- 0.170uM,60.5
"PC(20:3(5Z,8Z,11Z)/20:0)",HMDB0008373,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.545 +/- 0.161uM,0.504
"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",HMDB0008374,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.62 +/- 1.28uM,0.545
"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",HMDB0008374,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,4.50 +/- 1.51uM,3.62
"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",HMDB0008375,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,8.83 +/- 3.47uM,4.5
"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",HMDB0008375,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,11.27 +/- 4.24uM,8.83
"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",HMDB0008376,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,19.0 +/- 7.8uM,11.27
"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",HMDB0008376,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,24.5 +/- 10.0uM,19
"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",HMDB0008377,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,19.0 +/- 7.8uM,24.5
"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",HMDB0008377,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,24.5 +/- 10.0uM,19
"PC(20:3(5Z,8Z,11Z)/22:1(13Z))",HMDB0008382,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.172 +/- 0.059uM,24.5
"PC(20:3(5Z,8Z,11Z)/22:1(13Z))",HMDB0008382,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.185 +/- 0.060uM,0.172
"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))",HMDB0008383,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.324 +/- 0.111uM,0.185
"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))",HMDB0008383,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.383 +/- 0.146uM,0.324
"PC(20:3(5Z,8Z,11Z)/P-16:0)",HMDB0008390,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,108.5 +/- 32.8uM,0.383
"PC(20:3(5Z,8Z,11Z)/P-16:0)",HMDB0008390,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,132.1 +/- 39.6uM,108.5
"PC(20:3(5Z,8Z,11Z)/P-18:0)",HMDB0008391,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,43.5 +/- 14.2uM,132.1
"PC(20:3(5Z,8Z,11Z)/P-18:0)",HMDB0008391,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,56.1 +/- 19.7uM,43.5
"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))",HMDB0008392,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,88.0 +/- 28.5uM,56.1
"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))",HMDB0008392,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,103.8 +/- 31.3uM,88
"PC(20:3(5Z,8Z,11Z)/P-18:1(9Z))",HMDB0008393,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,103.8
"PC(20:3(5Z,8Z,11Z)/P-18:1(9Z))",HMDB0008393,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:3(8Z,11Z,14Z)/14:0)",HMDB0008394,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,13.2 +/- 4.8uM,103.8
"PC(20:3(8Z,11Z,14Z)/14:0)",HMDB0008394,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,16.1 +/- 4.7uM,13.2
"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,1.40 +/- 0.61uM,16.1
"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,1.74 +/- 0.59uM,1.4
"PC(20:3(8Z,11Z,14Z)/16:0)",HMDB0008397,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,108.5 +/- 32.8uM,1.74
"PC(20:3(8Z,11Z,14Z)/16:0)",HMDB0008397,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,132.1 +/- 39.6uM,108.5
"PC(20:3(8Z,11Z,14Z)/16:1(9Z))",HMDB0008398,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,138.6 +/- 39.6uM,132.1
"PC(20:3(8Z,11Z,14Z)/16:1(9Z))",HMDB0008398,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,159.1 +/- 43.5uM,138.6
"PC(20:3(8Z,11Z,14Z)/18:0)",HMDB0008399,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,43.5 +/- 14.2uM,159.1
"PC(20:3(8Z,11Z,14Z)/18:0)",HMDB0008399,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,56.1 +/- 19.7uM,43.5
"PC(20:3(8Z,11Z,14Z)/18:1(11Z))",HMDB0008400,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,56.1
"PC(20:3(8Z,11Z,14Z)/18:1(11Z))",HMDB0008400,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:3(8Z,11Z,14Z)/18:1(9Z))",HMDB0008401,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,103.8
"PC(20:3(8Z,11Z,14Z)/18:1(9Z))",HMDB0008401,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))",HMDB0008402,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,103.8
"PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))",HMDB0008402,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))",HMDB0008403,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,51.9 +/- 20.0uM,48.5
"PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))",HMDB0008403,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,60.5 +/- 21.7uM,51.9
"PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))",HMDB0008404,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,51.9 +/- 20.0uM,60.5
"PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))",HMDB0008404,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,60.5 +/- 21.7uM,51.9
"PC(20:3(8Z,11Z,14Z)/20:0)",HMDB0008406,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.504 +/- 0.170uM,60.5
"PC(20:3(8Z,11Z,14Z)/20:0)",HMDB0008406,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.545 +/- 0.161uM,0.504
"PC(20:3(8Z,11Z,14Z)/20:1(11Z))",HMDB0011201,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.62 +/- 1.28uM,0.545
"PC(20:3(8Z,11Z,14Z)/20:1(11Z))",HMDB0011201,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,4.50 +/- 1.51uM,3.62
"PC(20:3(8Z,11Z,14Z)/20:2(11Z,14Z))",HMDB0008407,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.83 +/- 3.47uM,4.5
"PC(20:3(8Z,11Z,14Z)/20:2(11Z,14Z))",HMDB0008407,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,11.27 +/- 4.24uM,8.83
"PC(20:3(8Z,11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008408,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,11.27
"PC(20:3(8Z,11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008408,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008409,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,19.0 +/- 7.8uM,24.5
"PC(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008409,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,24.5 +/- 10.0uM,19
"PC(20:3(8Z,11Z,14Z)/22:1(13Z))",HMDB0008414,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.172 +/- 0.059uM,24.5
