Obesity,,,,ab_c
"LysoPC(20:4(8Z,11Z,14Z,17Z)/0:0)",HMDB0010396,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,4.5 +/- 1.9uM,4.8
"LysoPC(20:4(8Z,11Z,14Z,17Z)/0:0)",HMDB0010396,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,4.5 +/- 1.7uM,4.5
"LysoPC(20:4(8Z,11Z,14Z,17Z)/0:0)",HMDB0010396,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,4.7 +/- 2.0uM,4.5
LysoPC(P-18:1(9Z)/0:0),HMDB0010408,CCCCCCCC\C=C/CCCCCC\C=C/OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,13.5 +/- 5.2uM,4.7
LysoPC(P-18:1(9Z)/0:0),HMDB0010408,CCCCCCCC\C=C/CCCCCC\C=C/OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,12.7 +/- 5.8uM,13.5
LysoPC(P-18:1(9Z)/0:0),HMDB0010408,CCCCCCCC\C=C/CCCCCC\C=C/OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,12.3 +/- 5.2uM,12.7
LysoPC(P-18:1(9Z)/0:0),HMDB0010408,CCCCCCCC\C=C/CCCCCC\C=C/OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,12.7 +/- -5.5uM,12.3
"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.1 +/- 2.9uM,12.7
"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.5 +/- 4.8uM,10.1
"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.0 +/- 3.4uM,10.5
