mid,nc.unadj,nc
HMDB0005014,0.0257 +/- 1.33,0.02570 
HMDB0005015,0.31 +/- 0.012,0.31000 
HMDB0005016,2.0 (0.02-4.5),2.00000 
HMDB0005017,10.0 +/- 0.002,10.00000 
HMDB0005034,1.47 +/- 0.03,1.47000 
HMDB0005045,0.000253 +/- 0.000018,0.00025 
HMDB0005047,19.3 +/- 3.9,19.30000 
HMDB0005049,0.079 +/- 0.035,0.07900 
HMDB0005056,0.0014,0.00140 
HMDB0005060,0.418 +/- 0.162,0.41800 
HMDB0005065,0.040-0.210,0.21000 
HMDB0005066,0.04 +/- 0.01,0.04000 
HMDB0005073,0.000079 +/- 0.000006 ,0.00008 
HMDB0005079,0.000083 +/- 0.000003,0.00008 
HMDB0005081,0.00067 +/- 0.000121,0.00067 
HMDB0005083,0.000957 +/- 0.00102 ,0.00096 
HMDB0005087,0.00011 +/- 0.00003,0.00011 
HMDB0005088,0.000097 +/- 0.000037,0.00010 
HMDB0005095,0.000009 +/- 0.000002,0.00001 
HMDB0005096,1.09 +/- 0.73,1.09000 
HMDB0005099,0.000017 +/- 0.000003,0.00002 
HMDB0005102,0.00001 +/- 0.000001,0.00001 
HMDB0005176,0.031 +/- 0.01,0.03100 
HMDB0005189,44.23 +/- 3.82 ,44.23000 
HMDB0005193,0.053 (0-0.107),0.05300 
HMDB0005199,0.0022 +/- 0.0015,0.00220 
HMDB0005357,11.6 +/- 2.8,11.60000 
HMDB0005359,27.0 +/- 2.9,27.00000 
HMDB0005360,63.6 +/- 1.8,63.60000 
HMDB0005361,29.6 +/- 1.9,29.60000 
HMDB0005362,79.8 +/- 8.9,79.80000 
HMDB0005363,90.9 +/- 9.6,90.90000 
HMDB0005367,29.6 +/- 1.9,29.60000 
HMDB0005369,139.5 +/- 10.0,139.50000 
HMDB0005370,68.5 +/- 10.3,68.50000 
HMDB0005374,63.6 +/- 1.8,63.60000 
HMDB0005375,29.6 +/- 1.9,29.60000 
HMDB0005376,20.2 +/- 4.1,20.20000 
HMDB0005377,79.8 +/- 8.9,79.80000 
HMDB0005378,139.5 +/- 10.0,139.50000 
HMDB0005379,57.1 +/- 5.5,57.10000 
HMDB0005380,32.0 +/- 1.4,32.00000 
HMDB0005382,139.5 +/- 10.0,139.50000 
HMDB0005383,21.5 +/- 4.3,21.50000 
HMDB0005384,214.8 +/- 22.0,214.80000 
HMDB0005385,53.6 +/- 6.0,53.60000 
HMDB0005388,21.5 +/- 4.3,21.50000 
HMDB0005389,69.1 +/- 9.5,69.10000 
HMDB0005390,90.9 +/- 9.6,90.90000 
HMDB0005391,36.5 +/- 2.6,36.50000 
HMDB0005397,21.5 +/- 4.3,21.50000 
HMDB0005403,21.5 +/- 4.3,21.50000 
HMDB0005405,69.1 +/- 9.5,69.10000 
HMDB0005411,68.5 +/- 10.3,68.50000 
HMDB0005412,23.5 +/- 2.6,23.50000 
HMDB0005419,0.01,0.01000 
HMDB0005421,29.6 +/- 1.9,29.60000 
HMDB0005423,139.5 +/- 10.0,139.50000 
HMDB0005424,21.5 +/- 4.3,21.50000 
HMDB0005425,214.8 +/- 22.0,214.80000 
HMDB0005426,53.6 +/- 6.0,53.60000 
HMDB0005430,79.8 +/- 8.9,79.80000 
HMDB0005431,139.5 +/- 10.0,139.50000 
HMDB0005433,57.1 +/- 5.5,57.10000 
HMDB0005434,214.8 +/- 22.0,214.80000 
HMDB0005435,18.9 +/- 3.2,18.90000 
HMDB0005437,21.5 +/- 4.3,21.50000 
HMDB0005438,214.8 +/- 22.0,214.80000 
HMDB0005439,69.1 +/- 9.5,69.10000 
HMDB0005440,90.9 +/- 9.6,90.90000 
HMDB0005441,36.5 +/- 2.6,36.50000 
HMDB0005443,23.5 +/- 2.6,23.50000 
HMDB0005444,69.1 +/- 9.5,69.10000 
HMDB0005445,68.5 +/- 10.3,68.50000 
HMDB0005446,32.0 +/- 1.4,32.00000 
HMDB0005455,68.5 +/- 10.3,68.50000 
HMDB0005456,23.5 +/- 2.6,23.50000 
HMDB0005461,53.6 +/- 6.0,53.60000 
HMDB0005474,36.5 +/- 2.6,36.50000 
HMDB0005768,0.00119 +/- 0.00051,0.00119 
HMDB0005770,0.56 +/- 0.14,0.56000 
HMDB0005781,0.0005 (0.00045- 0.00052),0.00050 
HMDB0005782,0.0222 +/- 0.0449,0.02220 
HMDB0005784,0.16 +/- 0.084,0.16000 
HMDB0005789,16.0 +/- 0.2,16.00000 
HMDB0005792,0.54 +/- 0.11,0.54000 
HMDB0005794,0.0229 +/- 0.0166,0.02290 
HMDB0005800,0.0999 +/- 0.0977,0.09990 
HMDB0005801,0.0106 +/- 0.00789,0.01060 
HMDB0005807,0.008 +/- 0.005,0.00800 
HMDB0005809,6.5 +/- 0.03,6.50000 
HMDB0005810,0.000694,0.00069 
HMDB0005821,0.18 +/- 0.15,0.18000 
HMDB0005843,0.14 +/- 0.098,0.14000 
HMDB0005886,0.0025 (0.000047-0.005),0.00250 
HMDB0005923,0.200 +/- 0.0600,0.20000 
HMDB0005949,0.040-0.240,0.24000 
HMDB0005960,0.11 +/- 0.10,0.11000 
HMDB0005972,<0.0333,0.03330 
HMDB0005973,0.015 +/- 0.0030,0.01500 
HMDB0005994,0.22 +/- 0.11,0.22000 
HMDB0005998,0.00177 +/- 0.00043,0.00177 
HMDB0006007,0-270567.0677,270567.06770 
HMDB0006024,0,0.00000 
HMDB0006031,0.000038 +/- 0.000018,0.00004 
HMDB0006037,0.6 (0.4-0.72),0.60000 
HMDB0006040,0.20 (0.16-0.23),0.20000 
HMDB0006049,0.00073 +/- 0.00005,0.00073 
HMDB0006059,<0.001,0.00100 
HMDB0006070,<0.0533,0.05330 
HMDB0006078,0.24 (0.12-0.36),0.24000 
HMDB0006088,0.026 (0.0026-0.321),0.02600 
HMDB0006095,0.09 +/- 0.08,0.09000 
HMDB0006101,0.0091,0.00910 
HMDB0006111,0.00422 +/- 0.000292,0.00422 
HMDB0006112,2.71 +/- 0.50,2.71000 
HMDB0006115,1124.493,1124.49300 
HMDB0006117,1.26 +/- 0.258,1.26000 
HMDB0006119,0.011 +/- 0.0027,0.01100 
HMDB0006203,0.0032 - 0.0068,0.00320 
HMDB0006219,0.003 +/- 0.001,0.00300 
HMDB0006224,0.000023+/-0.000026,0.00002 
HMDB0006236,205.301,205.30100 
HMDB0006245,0.000273 +/- 0.000047,0.00027 
HMDB0006247,0.02 +/- 0.003,0.02000 
HMDB0006275,0.0265 +/- 0.011,0.02650 
HMDB0006317,0.005 (0.0-0.044),0.00500 
HMDB0006327,4.23 +/- 0.7,4.23000 
HMDB0006335,0.20 (0.00-0.48),0.20000 
HMDB0006344,3.34 +/- 0.31,3.34000 
HMDB0006372,2.0 (0.0-5.0),2.00000 
HMDB0006406,0.237 +/- 0.0150,0.23700 
HMDB0006461,0.020-0.110,0.11000 
HMDB0006464,0.0-0.03,0.03000 
HMDB0006465,0.000305 +/- 0.000069 ,0.00031 
HMDB0006468,0.217 +/- 0.021,0.21700 
HMDB0006469,0.06 +/- 0.03,0.06000 
HMDB0006478,0.11 (0.0-0.34),0.11000 
HMDB0006483,16.0 +/- 3.0,16.00000 
HMDB0006528,39.334 +/- 6.0514,39.33400 
HMDB0006543,0.149 +/- 0.087,0.14900 
HMDB0006547,0.408 +/- 0.4,0.40800 
HMDB0006552,0.0009 +/- 0.00097,0.00090 
HMDB0006559,0.0076 (0.0038-0.0115),0.00760 
HMDB0006566,506 +/- 284,506.00000 
HMDB0006567,121 +/- 67.5,121.00000 
HMDB0006569,151.5644221+/- 11.1809820,151.56442 
HMDB0006576,233 +/- 74.0,233.00000 
HMDB0006577,210 +/- 168,210.00000 
HMDB0006580,0.55,0.55000 
HMDB0006587,0.47,0.47000 
HMDB0006589,127.1423995 +/- 8.9099792,127.14240 
HMDB0006593,170.7015256  +/- 7.5634623,170.70153 
HMDB0006594,254.9316949 +/-18.3244741,254.93169 
HMDB0006600,125.3958078+/-8.5199242,125.39581 
HMDB0006606,150.17 +/-13.48,150.17000 
HMDB0006612,0.28,0.28000 
HMDB0006622,0.68,0.68000 
HMDB0006695,0.87 +/- 1.0,0.87000 
HMDB0006705,189 +/- 159,189.00000 
HMDB0006706,93.702(0-2647.082),93.70200 
HMDB0006707,0.29 +/- 0.04,0.29000 
HMDB0006725,80 +/- 2,80.00000 
HMDB0006726,237 +/- 13,237.00000 
HMDB0006727,1.08 +/- 0.48,1.08000 
HMDB0006730,3.0 (0.0-6.0),3.00000 
HMDB0006731,39.07 +/- 11.07,39.07000 
HMDB0006733,21.93 +/- 6.64,21.93000 
HMDB0006734,4.28 +/- 4.02,4.28000 
HMDB0006736,18.71 +/- 5.94,18.71000 
HMDB0006737,0.53 (0-1.06),0.53000 
HMDB0006740,32 +/- 1,32.00000 
HMDB0006759,0.00016 +/- 0.00018,0.00016 
HMDB0006766,9.8 +/- 0.16,9.80000 
HMDB0006840,<0.000121,0.00012 
HMDB0006841,<0.000129,0.00013 
HMDB0006940,0.00514 +/- 0.0038,0.00514 
HMDB0007011,0.58 +/- 0.21,0.58000 
HMDB0007012,0.231 +/- 0.054,0.23100 
HMDB0007013,1.42 +/- 0.42,1.42000 
HMDB0007014,1.07 +/- 0.14,1.07000 
HMDB0007015,1.07 +/- 0.14,1.07000 
HMDB0007016,0.415 +/- 0.069,0.41500 
HMDB0007017,0.060 +/- 0.024,0.06000 
HMDB0007018,0.060 +/- 0.024,0.06000 
HMDB0007020,1.37 +/- 0.53,1.37000 
HMDB0007021,3.87 +/- 0.62,3.87000 
HMDB0007022,2.82 +/- 0.36,2.82000 
HMDB0007023,1.65 +/- 0.17,1.65000 
HMDB0007024,1.65 +/- 0.17,1.65000 
HMDB0007025,0.173 +/- 0.081,0.17300 
HMDB0007026,0.173 +/- 0.081,0.17300 
HMDB0007028,0.69 +/- 0.19,0.69000 
HMDB0007029,1.24 +/- 0.33,1.24000 
HMDB0007030,4.06 +/- 0.54,4.06000 
HMDB0007031,5.28 +/- 0.65,5.28000 
HMDB0007032,0.961 +/- 0.023,0.96100 
HMDB0007033,0.961 +/- 0.023,0.96100 
HMDB0007035,0.003,0.00300 
HMDB0007036,0.013 +/- 0.005,0.01300 
HMDB0007040,0.231 +/- 0.054,0.23100 
HMDB0007041,0.032 +/- 0.009,0.03200 
HMDB0007042,1.07 +/- 0.14,1.07000 
HMDB0007043,0.415 +/- 0.069,0.41500 
HMDB0007044,0.415 +/- 0.069,0.41500 
HMDB0007045,0.060 +/- 0.024,0.06000 
HMDB0007049,3.87 +/- 0.62,3.87000 
HMDB0007050,2.82 +/- 0.36,2.82000 
HMDB0007051,1.65 +/- 0.17,1.65000 
HMDB0007052,0.173 +/- 0.081,0.17300 
HMDB0007053,0.173 +/- 0.081,0.17300 
HMDB0007057,1.24 +/- 0.33,1.24000 
HMDB0007058,4.06 +/- 0.54,4.06000 
HMDB0007059,8.1 +/- 1.0,8.10000 
HMDB0007060,0.961 +/- 0.023,0.96100 
HMDB0007064,0.013 +/- 0.005,0.01300 
HMDB0007065,0.022 +/- 0.010,0.02200 
HMDB0007068,0.58 +/- 0.21,0.58000 
HMDB0007095,0.58 +/- 0.21,0.58000 
HMDB0007096,0.231 +/- 0.054,0.23100 
HMDB0007098,1.42 +/- 0.42,1.42000 
HMDB0007099,1.07 +/- 0.14,1.07000 
HMDB0007100,1.37 +/- 0.53,1.37000 
HMDB0007101,3.87 +/- 0.62,3.87000 
HMDB0007102,3.87 +/- 0.62,3.87000 
HMDB0007103,2.82 +/- 0.36,2.82000 
HMDB0007104,1.65 +/- 0.17,1.65000 
HMDB0007105,1.65 +/- 0.17,1.65000 
HMDB0007106,0.173 +/- 0.081,0.17300 
HMDB0007107,0.69 +/- 0.19,0.69000 
HMDB0007108,1.24 +/- 0.33,1.24000 
HMDB0007109,4.06 +/- 0.54,4.06000 
HMDB0007110,8.1 +/- 1.0,8.10000 
HMDB0007111,8.1 +/- 1.0,8.10000 
HMDB0007112,5.28 +/- 0.65,5.28000 
HMDB0007113,5.28 +/- 0.65,5.28000 
HMDB0007114,0.961 +/- 0.023,0.96100 
HMDB0007115,0.003,0.00300 
HMDB0007116,0.013 +/- 0.005,0.01300 
HMDB0007117,0.022 +/- 0.010,0.02200 
HMDB0007118,0.94 +/- 0.11,0.94000 
HMDB0007119,1.61 +/- 0.20,1.61000 
HMDB0007120,1.61 +/- 0.20,1.61000 
HMDB0007121,1.137 +/- 0.073,1.13700 
HMDB0007124,0.231 +/- 0.054,0.23100 
HMDB0007125,0.032 +/- 0.009,0.03200 
HMDB0007127,1.07 +/- 0.14,1.07000 
HMDB0007128,0.415 +/- 0.069,0.41500 
HMDB0007129,3.87 +/- 0.62,3.87000 
HMDB0007130,2.82 +/- 0.36,2.82000 
HMDB0007131,2.82 +/- 0.36,2.82000 
HMDB0007132,1.65 +/- 0.17,1.65000 
HMDB0007133,0.173 +/- 0.081,0.17300 
HMDB0007134,0.173 +/- 0.081,0.17300 
HMDB0007136,1.24 +/- 0.33,1.24000 
HMDB0007137,4.06 +/- 0.54,4.06000 
HMDB0007138,8.1 +/- 1.0,8.10000 
HMDB0007139,5.28 +/- 0.65,5.28000 
HMDB0007140,5.28 +/- 0.65,5.28000 
HMDB0007141,0.961 +/- 0.023,0.96100 
HMDB0007142,0.961 +/- 0.023,0.96100 
HMDB0007144,0.013 +/- 0.005,0.01300 
HMDB0007145,0.022 +/- 0.010,0.02200 
HMDB0007146,0.28 +/- 0.02,0.28000 
HMDB0007147,1.61 +/- 0.20,1.61000 
HMDB0007148,1.137 +/- 0.073,1.13700 
HMDB0007149,1.137 +/- 0.073,1.13700 
HMDB0007153,1.42 +/- 0.42,1.42000 
HMDB0007154,1.07 +/- 0.14,1.07000 
HMDB0007156,1.37 +/- 0.53,1.37000 
HMDB0007157,3.87 +/- 0.62,3.87000 
HMDB0007158,0.69 +/- 0.19,0.69000 
HMDB0007159,1.24 +/- 0.33,1.24000 
HMDB0007160,1.24 +/- 0.33,1.24000 
HMDB0007161,4.06 +/- 0.54,4.06000 
HMDB0007162,8.1 +/- 1.0,8.10000 
HMDB0007163,8.1 +/- 1.0,8.10000 
HMDB0007164,5.28 +/- 0.65,5.28000 
HMDB0007165,0.003,0.00300 
HMDB0007166,0.013 +/- 0.005,0.01300 
HMDB0007167,0.022 +/- 0.010,0.02200 
HMDB0007168,0.28 +/- 0.02,0.28000 
HMDB0007169,0.28 +/- 0.02,0.28000 
HMDB0007170,0.94 +/- 0.11,0.94000 
HMDB0007171,0.94 +/- 0.11,0.94000 
HMDB0007172,1.61 +/- 0.20,1.61000 
HMDB0007176,0.036 +/- 0.004,0.03600 
HMDB0007179,0.254 +/- 0.032,0.25400 
HMDB0007182,1.07 +/- 0.14,1.07000 
HMDB0007183,0.415 +/- 0.069,0.41500 
HMDB0007185,3.87 +/- 0.62,3.87000 
HMDB0007186,2.82 +/- 0.36,2.82000 
HMDB0007187,1.24 +/- 0.33,1.24000 
HMDB0007188,4.06 +/- 0.54,4.06000 
HMDB0007189,4.06 +/- 0.54,4.06000 
HMDB0007190,8.1 +/- 1.0,8.10000 
HMDB0007191,5.28 +/- 0.65,5.28000 
HMDB0007192,5.28 +/- 0.65,5.28000 
HMDB0007193,0.961 +/- 0.023,0.96100 
HMDB0007194,0.013 +/- 0.005,0.01300 
HMDB0007195,0.022 +/- 0.010,0.02200 
HMDB0007196,0.28 +/- 0.02,0.28000 
HMDB0007197,0.94 +/- 0.11,0.94000 
HMDB0007198,0.94 +/- 0.11,0.94000 
HMDB0007199,1.61 +/- 0.20,1.61000 
HMDB0007200,1.61 +/- 0.20,1.61000 
HMDB0007201,1.137 +/- 0.073,1.13700 
HMDB0007206,0.254 +/- 0.032,0.25400 
HMDB0007207,0.254 +/- 0.032,0.25400 
HMDB0007208,0.310 +/- 0.068,0.31000 
HMDB0007211,1.07 +/- 0.14,1.07000 
HMDB0007212,0.415 +/- 0.069,0.41500 
HMDB0007214,3.87 +/- 0.62,3.87000 
HMDB0007215,2.82 +/- 0.36,2.82000 
HMDB0007216,1.24 +/- 0.33,1.24000 
HMDB0007217,4.06 +/- 0.54,4.06000 
HMDB0007218,4.06 +/- 0.54,4.06000 
HMDB0007219,8.1 +/- 1.0,8.10000 
HMDB0007220,5.28 +/- 0.65,5.28000 
HMDB0007221,5.28 +/- 0.65,5.28000 
HMDB0007222,0.961 +/- 0.023,0.96100 
HMDB0007223,0.013 +/- 0.005,0.01300 
HMDB0007224,0.022 +/- 0.010,0.02200 
HMDB0007225,0.28 +/- 0.02,0.28000 
HMDB0007226,0.94 +/- 0.11,0.94000 
HMDB0007227,0.94 +/- 0.11,0.94000 
HMDB0007228,1.61 +/- 0.20,1.61000 
HMDB0007229,1.61 +/- 0.20,1.61000 
HMDB0007230,1.137 +/- 0.073,1.13700 
HMDB0007235,0.254 +/- 0.032,0.25400 
HMDB0007236,0.254 +/- 0.032,0.25400 
HMDB0007237,0.310 +/- 0.068,0.31000 
HMDB0007240,0.415 +/- 0.069,0.41500 
HMDB0007241,0.060 +/- 0.024,0.06000 
HMDB0007243,2.82 +/- 0.36,2.82000 
HMDB0007244,1.65 +/- 0.17,1.65000 
HMDB0007245,4.06 +/- 0.54,4.06000 
HMDB0007246,8.1 +/- 1.0,8.10000 
HMDB0007247,8.1 +/- 1.0,8.10000 
HMDB0007248,5.28 +/- 0.65,5.28000 
HMDB0007249,0.961 +/- 0.023,0.96100 
HMDB0007250,0.961 +/- 0.023,0.96100 
HMDB0007252,0.022 +/- 0.010,0.02200 
HMDB0007253,0.28 +/- 0.02,0.28000 
HMDB0007254,0.94 +/- 0.11,0.94000 
HMDB0007255,1.61 +/- 0.20,1.61000 
HMDB0007256,1.61 +/- 0.20,1.61000 
HMDB0007257,1.137 +/- 0.073,1.13700 
HMDB0007258,1.137 +/- 0.073,1.13700 
HMDB0007262,0.036 +/- 0.004,0.03600 
HMDB0007263,0.254 +/- 0.032,0.25400 
HMDB0007264,0.310 +/- 0.068,0.31000 
HMDB0007265,0.310 +/- 0.068,0.31000 
HMDB0007269,0.060 +/- 0.024,0.06000 
HMDB0007272,1.65 +/- 0.17,1.65000 
HMDB0007273,0.173 +/- 0.081,0.17300 
HMDB0007274,8.1 +/- 1.0,8.10000 
HMDB0007275,5.28 +/- 0.65,5.28000 
HMDB0007276,5.28 +/- 0.65,5.28000 
HMDB0007277,0.961 +/- 0.023,0.96100 
HMDB0007281,0.28 +/- 0.02,0.28000 
HMDB0007282,0.94 +/- 0.11,0.94000 
HMDB0007283,1.61 +/- 0.20,1.61000 
HMDB0007284,1.137 +/- 0.073,1.13700 
HMDB0007285,1.137 +/- 0.073,1.13700 
HMDB0007290,0.036 +/- 0.004,0.03600 
HMDB0007292,0.310 +/- 0.068,0.31000 
HMDB0007298,0.060 +/- 0.024,0.06000 
HMDB0007301,1.65 +/- 0.17,1.65000 
HMDB0007302,0.173 +/- 0.081,0.17300 
HMDB0007303,8.1 +/- 1.0,8.10000 
HMDB0007304,5.28 +/- 0.65,5.28000 
HMDB0007305,5.28 +/- 0.65,5.28000 
HMDB0007306,0.961 +/- 0.023,0.96100 
HMDB0007310,0.28 +/- 0.02,0.28000 
HMDB0007311,0.94 +/- 0.11,0.94000 
HMDB0007312,1.61 +/- 0.20,1.61000 
HMDB0007313,1.137 +/- 0.073,1.13700 
HMDB0007314,1.137 +/- 0.073,1.13700 
HMDB0007319,0.036 +/- 0.004,0.03600 
HMDB0007321,0.310 +/- 0.068,0.31000 
HMDB0007330,0.173 +/- 0.081,0.17300 
HMDB0007332,5.28 +/- 0.65,5.28000 
HMDB0007333,0.961 +/- 0.023,0.96100 
HMDB0007334,0.961 +/- 0.023,0.96100 
HMDB0007339,0.94 +/- 0.11,0.94000 
HMDB0007340,1.61 +/- 0.20,1.61000 
HMDB0007341,1.137 +/- 0.073,1.13700 
HMDB0007347,0.036 +/- 0.004,0.03600 
HMDB0007349,0.254 +/- 0.032,0.25400 
HMDB0007356,1.37 +/- 0.53,1.37000 
HMDB0007357,3.87 +/- 0.62,3.87000 
HMDB0007359,0.69 +/- 0.19,0.69000 
HMDB0007360,1.24 +/- 0.33,1.24000 
HMDB0007361,0.003,0.00300 
HMDB0007362,0.013 +/- 0.005,0.01300 
HMDB0007363,0.013 +/- 0.005,0.01300 
HMDB0007364,0.022 +/- 0.010,0.02200 
HMDB0007365,0.28 +/- 0.02,0.28000 
HMDB0007366,0.28 +/- 0.02,0.28000 
HMDB0007367,0.94 +/- 0.11,0.94000 
HMDB0007373,0.036 +/- 0.004,0.03600 
HMDB0007374,0.036 +/- 0.004,0.03600 
HMDB0007385,3.87 +/- 0.62,3.87000 
HMDB0007386,2.82 +/- 0.36,2.82000 
HMDB0007388,1.24 +/- 0.33,1.24000 
HMDB0007389,4.06 +/- 0.54,4.06000 
HMDB0007390,0.013 +/- 0.005,0.01300 
HMDB0007391,0.022 +/- 0.010,0.02200 
HMDB0007392,0.022 +/- 0.010,0.02200 
HMDB0007393,0.28 +/- 0.02,0.28000 
HMDB0007394,0.94 +/- 0.11,0.94000 
HMDB0007395,0.94 +/- 0.11,0.94000 
HMDB0007396,1.61 +/- 0.20,1.61000 
HMDB0007400,0.036 +/- 0.004,0.03600 
HMDB0007401,0.036 +/- 0.004,0.03600 
HMDB0007404,0.254 +/- 0.032,0.25400 
HMDB0007414,2.82 +/- 0.36,2.82000 
HMDB0007415,1.65 +/- 0.17,1.65000 
HMDB0007417,4.06 +/- 0.54,4.06000 
HMDB0007418,8.1 +/- 1.0,8.10000 
HMDB0007419,0.022 +/- 0.010,0.02200 
HMDB0007420,0.28 +/- 0.02,0.28000 
HMDB0007421,0.28 +/- 0.02,0.28000 
HMDB0007422,0.94 +/- 0.11,0.94000 
HMDB0007423,1.61 +/- 0.20,1.61000 
HMDB0007424,1.61 +/- 0.20,1.61000 
HMDB0007425,1.137 +/- 0.073,1.13700 
HMDB0007428,0.036 +/- 0.004,0.03600 
HMDB0007431,0.254 +/- 0.032,0.25400 
HMDB0007432,0.254 +/- 0.032,0.25400 
HMDB0007433,0.310 +/- 0.068,0.31000 
HMDB0007443,1.65 +/- 0.17,1.65000 
HMDB0007444,0.173 +/- 0.081,0.17300 
HMDB0007446,8.1 +/- 1.0,8.10000 
HMDB0007447,5.28 +/- 0.65,5.28000 
HMDB0007448,0.28 +/- 0.02,0.28000 
HMDB0007449,0.94 +/- 0.11,0.94000 
HMDB0007450,0.94 +/- 0.11,0.94000 
HMDB0007451,1.61 +/- 0.20,1.61000 
HMDB0007452,1.137 +/- 0.073,1.13700 
HMDB0007453,1.137 +/- 0.073,1.13700 
HMDB0007456,0.036 +/- 0.004,0.03600 
HMDB0007458,0.254 +/- 0.032,0.25400 
HMDB0007459,0.254 +/- 0.032,0.25400 
HMDB0007460,0.310 +/- 0.068,0.31000 
HMDB0007461,0.310 +/- 0.068,0.31000 
HMDB0007472,1.65 +/- 0.17,1.65000 
HMDB0007473,0.173 +/- 0.081,0.17300 
HMDB0007475,8.1 +/- 1.0,8.10000 
HMDB0007476,5.28 +/- 0.65,5.28000 
HMDB0007477,0.28 +/- 0.02,0.28000 
HMDB0007478,0.94 +/- 0.11,0.94000 
HMDB0007479,0.94 +/- 0.11,0.94000 
HMDB0007480,1.61 +/- 0.20,1.61000 
HMDB0007481,1.137 +/- 0.073,1.13700 
HMDB0007482,1.137 +/- 0.073,1.13700 
HMDB0007485,0.036 +/- 0.004,0.03600 
HMDB0007487,0.254 +/- 0.032,0.25400 
HMDB0007488,0.254 +/- 0.032,0.25400 
HMDB0007489,0.310 +/- 0.068,0.31000 
HMDB0007490,0.310 +/- 0.068,0.31000 
HMDB0007501,0.173 +/- 0.081,0.17300 
HMDB0007504,5.28 +/- 0.65,5.28000 
HMDB0007505,0.961 +/- 0.023,0.96100 
HMDB0007506,0.94 +/- 0.11,0.94000 
HMDB0007507,1.61 +/- 0.20,1.61000 
HMDB0007508,1.61 +/- 0.20,1.61000 
HMDB0007509,1.137 +/- 0.073,1.13700 
HMDB0007513,0.036 +/- 0.004,0.03600 
HMDB0007515,0.254 +/- 0.032,0.25400 
HMDB0007516,0.310 +/- 0.068,0.31000 
HMDB0007517,0.310 +/- 0.068,0.31000 
HMDB0007530,0.173 +/- 0.081,0.17300 
HMDB0007533,5.28 +/- 0.65,5.28000 
HMDB0007534,0.961 +/- 0.023,0.96100 
HMDB0007535,0.94 +/- 0.11,0.94000 
HMDB0007536,1.61 +/- 0.20,1.61000 
HMDB0007537,1.61 +/- 0.20,1.61000 
HMDB0007538,1.137 +/- 0.073,1.13700 
HMDB0007542,0.036 +/- 0.004,0.03600 
HMDB0007544,0.254 +/- 0.032,0.25400 
HMDB0007545,0.310 +/- 0.068,0.31000 
HMDB0007546,0.310 +/- 0.068,0.31000 
HMDB0007562,0.961 +/- 0.023,0.96100 
HMDB0007564,1.61 +/- 0.20,1.61000 
HMDB0007565,1.137 +/- 0.073,1.13700 
HMDB0007566,1.137 +/- 0.073,1.13700 
HMDB0007572,0.254 +/- 0.032,0.25400 
HMDB0007573,0.310 +/- 0.068,0.31000 
HMDB0007588,0.69 +/- 0.19,0.69000 
HMDB0007589,1.24 +/- 0.33,1.24000 
HMDB0007591,0.003,0.00300 
HMDB0007592,0.013 +/- 0.005,0.01300 
HMDB0007599,0.036 +/- 0.004,0.03600 
HMDB0007617,1.24 +/- 0.33,1.24000 
HMDB0007618,4.06 +/- 0.54,4.06000 
HMDB0007620,0.013 +/- 0.005,0.01300 
HMDB0007621,0.022 +/- 0.010,0.02200 
HMDB0007626,0.036 +/- 0.004,0.03600 
HMDB0007627,0.036 +/- 0.004,0.03600 
HMDB0007646,4.06 +/- 0.54,4.06000 
HMDB0007647,8.1 +/- 1.0,8.10000 
HMDB0007649,0.022 +/- 0.010,0.02200 
HMDB0007650,0.28 +/- 0.02,0.28000 
HMDB0007654,0.036 +/- 0.004,0.03600 
HMDB0007657,0.254 +/- 0.032,0.25400 
HMDB0007675,5.28 +/- 0.65,5.28000 
HMDB0007676,0.961 +/- 0.023,0.96100 
HMDB0007678,0.94 +/- 0.11,0.94000 
HMDB0007679,1.61 +/- 0.20,1.61000 
HMDB0007680,0.036 +/- 0.004,0.03600 
HMDB0007683,0.254 +/- 0.032,0.25400 
HMDB0007684,0.310 +/- 0.068,0.31000 
HMDB0007685,0.310 +/- 0.068,0.31000 
HMDB0007704,0.961 +/- 0.023,0.96100 
HMDB0007707,1.61 +/- 0.20,1.61000 
HMDB0007708,1.137 +/- 0.073,1.13700 
HMDB0007710,0.254 +/- 0.032,0.25400 
HMDB0007711,0.254 +/- 0.032,0.25400 
HMDB0007712,0.310 +/- 0.068,0.31000 
HMDB0007733,0.961 +/- 0.023,0.96100 
HMDB0007736,1.61 +/- 0.20,1.61000 
HMDB0007737,1.137 +/- 0.073,1.13700 
HMDB0007739,0.254 +/- 0.032,0.25400 
HMDB0007740,0.254 +/- 0.032,0.25400 
HMDB0007741,0.310 +/- 0.068,0.31000 
HMDB0007765,1.137 +/- 0.073,1.13700 
HMDB0007767,0.254 +/- 0.032,0.25400 
HMDB0007768,0.310 +/- 0.068,0.31000 
HMDB0007769,0.310 +/- 0.068,0.31000 
HMDB0007791,0.003,0.00300 
HMDB0007792,0.013 +/- 0.005,0.01300 
HMDB0007820,0.013 +/- 0.005,0.01300 
HMDB0007821,0.022 +/- 0.010,0.02200 
HMDB0007858,0.147 +/- 0.012,0.14700 
HMDB0007859,0.147 +/- 0.012,0.14700 
HMDB0007860,0.144 +/- 0.015,0.14400 
HMDB0007861,0.223 +/- 0.047,0.22300 
HMDB0007862,0.223 +/- 0.047,0.22300 
HMDB0007863,0.223 +/- 0.047,0.22300 
HMDB0007864,0.223 +/- 0.047,0.22300 
