mid,nc.unadj,nc
HMDB0000498,5.0 +/- 3.0,5.00000 
HMDB0000499,1.5 (0.6 - 2.3),1.50000 
HMDB0000501,0.033 +/- 0.018,0.03300 
HMDB0000508,2.5 (0.0 - 5.0),2.50000 
HMDB0000510,2.0 (0.0-5.0),2.00000 
HMDB0000511,11.0 (5.0-17.0),11.00000 
HMDB0000517,129.5 +/- 30,129.50000 
HMDB0000518,5530 (5400-5660),5530.00000 
HMDB0000521,1.5 (0.6 - 2.3),1.50000 
HMDB0000522,<10,10.00000 
HMDB0000526,0.14 (0.10-0.16),0.14000 
HMDB0000531,1.0 (0.0-2.0),1.00000 
HMDB0000532,69.7,69.70000 
HMDB0000534,2.5 +/- 2.5,2.50000 
HMDB0000535,17 (0-105),17.00000 
HMDB0000538,1077.0 +/- 210.0,1077.00000 
HMDB0000546,0.000017 (0.000011-0.000067),0.00002 
HMDB0000547,717 +/- 74.3,717.00000 
HMDB0000549,0.28 +/- 0.16,0.28000 
HMDB0000550,0.098 (0.092-0.12),0.09800 
HMDB0000551,0.000067 (0.000045-0.00012),0.00007 
HMDB0000552,0.0000-0.140,0.14000 
HMDB0000554,0.000475 (0.000352-0.000548),0.00048 
HMDB0000557,0-4,2.00000 
HMDB0000561,0.133,0.13300 
HMDB0000562,69.65 +/- 9.88,69.65000 
HMDB0000564,584.557 +/- 134.506,584.55700 
HMDB0000565,2.00 (0.69 - 3.84),2.00000 
HMDB0000567,0.168 +/- 0.044,0.16800 
HMDB0000568,3 (0-5),3.00000 
HMDB0000569,0.0007 +/- 0.00018,0.00070 
HMDB0000570,0.006 (0.000 - 0.012),0.00600 
HMDB0000572,0.0003 +/- 0.0002,0.00030 
HMDB0000573,100.00 (42.20 - 128.08),100.00000 
HMDB0000574,24-100,100.00000 
HMDB0000575,9.8 +/- 2.8,9.80000 
HMDB0000580,9.58 +/- 2.71,9.58000 
HMDB0000582,0.000016 +/- 0.000006,0.00002 
HMDB0000585,2.26 (1.13-4.75),2.26000 
HMDB0000586,3500-5000,5000.00000 
HMDB0000588,144000.0 +/- 5700.0,144000.00000 
HMDB0000590,0.0035–0.0565,0.05650 
HMDB0000593,44.5 (37.6-53.3),44.50000 
HMDB0000595,24900.0 +/- 1790.0,24900.00000 
HMDB0000598,< 0.003,0.00300 
HMDB0000599,0.0035 +/- 0.0013,0.00350 
HMDB0000600,0.061 +/- 0.008,0.06100 
HMDB0000601,<0.1,0.10000 
HMDB0000603,0,0.00000 
HMDB0000606,0.280-0.930,0.93000 
HMDB0000607,>0.000120,0.00012 
HMDB0000608,0.0031 +/- 0.0017,0.00310 
HMDB0000610,1506.38 +/- 204.89,1506.38000 
HMDB0000613,2.0 (0.0-5.0),2.00000 
HMDB0000617,5,5.00000 
HMDB0000618,1.86 +/- 0.79,1.86000 
HMDB0000619,32060 (31830-32280),32060.00000 
HMDB0000620,0-2,1.00000 
HMDB0000622,0.84 (0.15-0.69),0.84000 
HMDB0000623,219.7 +/- 14.0,219.70000 
HMDB0000625,<5,3.00000 
HMDB0000626,11720 (11570-11860),11720.00000 
HMDB0000630,6.4 +/- 8.5,6.40000 
HMDB0000631,>0.01,0.01000 
HMDB0000634,0.35-0.84 ,0.84000 
HMDB0000635,0.003 (0.00-0.013),0.00300 
HMDB0000637,>0.01,0.01000 
HMDB0000638,12.0 (2.0-37.0),12.00000 
HMDB0000639,0.172 +/- 0.160,0.17200 
HMDB0000640,52.785 +/- 91.707,52.78500 
HMDB0000641,380-780,580.00000 
HMDB0000643,0.0073 +/- 0.0035,0.00730 
HMDB0000645,31.0 (0.0-57.0),31.00000 
HMDB0000646,2.5 (0.0-5.0),2.50000 
HMDB0000651,0.26 +/- 0.11,0.26000 
HMDB0000653,5.40 +/- 0.52,5.40000 
HMDB0000656,0.227 +/- 0.209,0.22700 
HMDB0000657,14.71645(14.20635-15.22336),14.71645 
HMDB0000658,118.74 +/- 45.54,118.74000 
HMDB0000660,31.0 +/- 3.0,31.00000 
