mid,mname,keggid,nc
HMDB0000283,D-Ribose,C00121,2.3
HMDB0000285,Uridine triphosphate,C00075,1.02
HMDB0000286,Uridine diphosphate glucose,C00029,155
HMDB0000288,Uridine 5'-monophosphate,C00105,184
HMDB0000289,Uric acid,C00366,384.18
HMDB0000290,Uridine diphosphate-N-acetylglucosamine,C00043,0.11
HMDB0000291,Vanillylmandelic acid,C05584,0.035
HMDB0000292,Xanthine,C00385,1
HMDB0000294,Urea,C00086,6074.6
HMDB0000295,Uridine 5'-diphosphate,C00015,41
HMDB0000296,Uridine,C00299,3.1
HMDB0000299,Xanthosine,C01762,5.08
HMDB0000300,Uracil,C00106,0.87
HMDB0000301,Urocanic acid,C00785,0.43
HMDB0000302,Uridine diphosphategalactose,C00052,2.008
HMDB0000303,Tryptamine,C00398,
HMDB0000305,Vitamin A,C17276,0.78
HMDB0000306,Tyramine,C00483,0.0095
HMDB0000315,16-a-Hydroxypregnenolone,C06390  ,16.1
HMDB0000317,,,0.7
HMDB0000318,"3,4-Dihydroxyphenylglycol",C05576,0.008
HMDB0000319,18-Hydroxycorticosterone,C01124,0.00138
HMDB0000321,2-Hydroxyadipic acid,C02360,
HMDB0000325,,,0.1
HMDB0000332,,,0.00083
HMDB0000335,16a-Hydroxyestrone,C05300,0.00078
HMDB0000336,,,21
HMDB0000337,,,18
HMDB0000338,2-Hydroxyestradiol,C05301,0.0016
HMDB0000339,,,0.3643
HMDB0000343,2-Hydroxyestrone,C05298,0.00024
HMDB0000345,,,6
HMDB0000350,,,0.65
HMDB0000352,16a-Hydroxydehydroisoandrosterone,C05139,0.35
HMDB0000354,,,10
HMDB0000355,3-Hydroxymethylglutaric acid,C03761,
HMDB0000360,,,2
HMDB0000362,,,1.6
HMDB0000363,17a-Hydroxypregnenolone,C05138,0.00451
HMDB0000365,Epiandrosterone,C07635,2.9
HMDB0000369,,,0.12
HMDB0000374,17-Hydroxyprogesterone,C01176,0.00233
HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,C11457,0.056
HMDB0000379,,,0.1
HMDB0000380,,,0.00235
HMDB0000387,,,0.3
HMDB0000391,,,
HMDB0000394,,,0.21
HMDB0000396,,,3.9
HMDB0000397,2-Pyrocatechuic acid,C00196,0.129
HMDB0000400,,,
HMDB0000403,,,1
HMDB0000405,2-Methoxyestradiol,C05302,0.01
HMDB0000407,,,13.7
HMDB0000408,,,2
HMDB0000413,,,0.61
HMDB0000415,"3a,6b,7b-Trihydroxy-5b-cholanoic acid",C17726,
HMDB0000416,,,2
HMDB0000417,,,
HMDB0000418,,,0.00329
HMDB0000422,,,
HMDB0000423,"3,4-Dihydroxyhydrocinnamic acid",C10447,0.029
HMDB0000424,,,0.67
HMDB0000426,Citramalic acid,C00815,
HMDB0000428,,,0.15
HMDB0000429,17alpha-Estradiol,C02537,0.32
HMDB0000430,,,0.0043
HMDB0000434,,,0.687
HMDB0000439,,,
HMDB0000440,3-Hydroxyphenylacetic acid,C05593,0.012
HMDB0000442,(S)-3-Hydroxybutyric acid,C03197,20
HMDB0000446,N-alpha-Acetyl-L-lysine,C12989,
HMDB0000448,Adipic acid,C06104,0.09
HMDB0000449,,,0.19
HMDB0000450,5-Hydroxylysine,C16741,2.5
HMDB0000451,,,
HMDB0000452,L-alpha-Aminobutyric acid,C02356,23
HMDB0000453,,,
HMDB0000459,,,0.6455
HMDB0000462,Allantoin,C01551,2.1
HMDB0000464,Calcium,C00076,1536
HMDB0000466,3-Methylindole,C08313,12189.869
HMDB0000467,,,
HMDB0000468,Biopterin,C06313,0.017
HMDB0000469,5-Hydroxymethyluracil,C03088,0.12
HMDB0000472,5-Hydroxy-L-tryptophan,C00643,0.018
HMDB0000479,3-Methylhistidine,C01152,2.7
HMDB0000481,,,5
HMDB0000482,Caprylic acid,C06423,2.5
HMDB0000484,Vanillic acid,C06672,4.8
HMDB0000486,,,
HMDB0000489,Aspartylglycosamine,C04540,0
HMDB0000490,Etiocholanolone,C04373,0.0012
HMDB0000491,3-Methyl-2-oxovaleric acid,C00671,18
HMDB0000492,Chloride ion,C00698,104000
HMDB0000493,"5alpha-Androstane-3beta,17beta-diol",C12525,0.00015
HMDB0000494,Stigmastanol,C11682,2.8
HMDB0000495,,,0.022
HMDB0000496,3-Methoxy-4-hydroxyphenylglycol glucuronide,C03033,0.18
HMDB0000497,,,6.37
HMDB0000498,,,5
HMDB0000499,,,1.5
HMDB0000500,4-Hydroxybenzoic acid,C00156,
HMDB0000501,,,0.033
HMDB0000502,,,
HMDB0000508,Ribitol,C00474,2.5
HMDB0000510,Aminoadipic acid,C00956,2
HMDB0000511,Capric acid,C01571,11
HMDB0000512,N-Acetyl-L-phenylalanine,C03519,
HMDB0000517,L-Arginine,C00062,129.5
HMDB0000518,Chenodeoxycholic acid,C02528,5530
HMDB0000521,,,1.5
HMDB0000522,,,10
HMDB0000525,,,
HMDB0000526,,,0.14
HMDB0000529,,,
HMDB0000531,,,1
HMDB0000532,,,69.7
HMDB0000534,,,2.5
HMDB0000535,Caproic acid,C01585,17
HMDB0000538,Adenosine triphosphate,C00002,1077
HMDB0000539,Arabinonic acid,C00878,
HMDB0000546,,,0.00002
HMDB0000547,Magnesium,C00305,717
HMDB0000549,gamma-Butyrolactone,C01770,0.28
HMDB0000550,,,0.098
HMDB0000551,,,0.00007
HMDB0000552,,,0.14
HMDB0000553,,,
HMDB0000554,,,0.00048
HMDB0000555,,,
HMDB0000557,,,2
HMDB0000561,beta-Carotene,C02094,0.133
HMDB0000562,Creatinine,C00791,69.65
HMDB0000563,D-Phenyllactic acid,C05607,
