mid,mname,keggid,nc
HMDB0004983,Dimethyl sulfone,C11142,16.1
HMDB0004988,,,0.073
HMDB0004989,,,0.00004
HMDB0004995,Codeine,C06174,0.006
HMDB0004999,Loperamide,C07080,0.0024
HMDB0005000,Loratadine,C06818,1.02
HMDB0005006,Atorvastatin,C06834,0.01
HMDB0005007,,,0.044
HMDB0005010,Sertraline,C07246,0.15
HMDB0005014,Celecoxib,C07589,0.0257
HMDB0005015,,,0.31
HMDB0005016,Venlafaxine,C07187,2
HMDB0005017,Pantoprazole,C11806,10
HMDB0005034,Topiramate,C07502,1.47
HMDB0005045,,,0.00025
HMDB0005047,,,19.3
HMDB0005049,10-Nitrolinoleic acid,C13800,0.079
HMDB0005056,Enterodiol,C18166,0.0014
HMDB0005060,Eicosadienoic acid,C16525,0.418
HMDB0005065,,,0.21
HMDB0005066,,,0.04
HMDB0005073,,,0.00008
HMDB0005079,"15-Deoxy-d-12,14-PGJ2",C14717,0.00008
HMDB0005081,,,0.00067
HMDB0005083,8-Isoprostaglandin F2a,C13809,0.00096
HMDB0005087,,,0.00011
HMDB0005088,,,0.0001
HMDB0005095,,,0.00001
HMDB0005096,,,1.09
HMDB0005099,,,0.00002
HMDB0005102,Prostaglandin D1,C06438,0.00001
HMDB0005176,Dolichol-20,C00381,0.031
HMDB0005189,CE(18:1(11Z)),C13881,44.23
HMDB0005193,CE(20:1(11Z)),C02530,0.053
HMDB0005199,(R)-Salsolinol,C09642,0.0022
HMDB0005357,,,11.6
HMDB0005359,TG(16:0/16:0/16:1(9Z)),C00422,27
HMDB0005360,TG(16:0/16:0/18:1(9Z)),C00422,63.6
HMDB0005361,TG(16:0/16:0/20:1(11Z)),C00422,29.6
HMDB0005362,"TG(16:0/16:0/18:2(9Z,12Z))",C00422,79.8
HMDB0005363,"TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))",C00422,90.9
HMDB0005367,TG(16:0/18:0/18:1(9Z)),C00422,29.6
HMDB0005369,"TG(16:0/18:0/18:2(9Z,12Z))",C00422,139.5
HMDB0005370,"TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))",C00422,68.5
HMDB0005374,TG(16:0/16:1(9Z)/18:0),C00422,63.6
HMDB0005375,TG(16:0/16:1(9Z)/20:0),C00422,29.6
HMDB0005376,TG(16:0/16:1(9Z)/16:1(9Z)),C00422,20.2
HMDB0005377,TG(16:0/16:1(9Z)/18:1(9Z)),C00422,79.8
HMDB0005378,TG(16:0/16:1(9Z)/20:1(11Z)),C00422,139.5
HMDB0005379,"TG(16:0/16:1(9Z)/18:2(9Z,12Z))",C00422,57.1
HMDB0005380,"TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",C00422,32
HMDB0005382,TG(16:0/18:1(9Z)/18:1(9Z)),C00422,139.5
HMDB0005383,TG(16:0/18:1(9Z)/20:1(11Z)),C00422,21.5
HMDB0005384,"TG(16:0/18:1(9Z)/18:2(9Z,12Z))",C00422,214.8
HMDB0005385,"TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",C00422,53.6
HMDB0005388,"TG(16:0/18:2(9Z,12Z)/20:0)",C00422,21.5
HMDB0005389,"TG(16:0/18:2(9Z,12Z)/20:1(11Z))",C00422,69.1
HMDB0005390,"TG(16:0/18:2(9Z,12Z)/18:2(9Z,12Z))",C00422,90.9
HMDB0005391,"TG(16:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",C00422,36.5
HMDB0005397,"TG(18:0/18:0/18:2(9Z,12Z))",C00422,21.5
HMDB0005403,TG(18:0/18:1(9Z)/18:1(9Z)),C00422,21.5
HMDB0005405,"TG(18:0/18:1(9Z)/18:2(9Z,12Z))",C00422,69.1
HMDB0005411,"TG(18:0/18:2(9Z,12Z)/18:2(9Z,12Z))",C00422,68.5
HMDB0005412,"TG(18:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",C00422,23.5
HMDB0005419,"TG(20:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))",C00422,0.01
HMDB0005421,TG(16:1(9Z)/18:0/18:0),C00422,29.6
HMDB0005423,TG(16:1(9Z)/18:0/18:1(9Z)),C00422,139.5
HMDB0005424,TG(16:1(9Z)/18:0/20:1(11Z)),C00422,21.5
HMDB0005425,"TG(16:1(9Z)/18:0/18:2(9Z,12Z))",C00422,214.8
HMDB0005426,"TG(16:1(9Z)/18:0/20:4(5Z,8Z,11Z,14Z))",C00422,53.6
HMDB0005430,TG(16:1(9Z)/16:1(9Z)/18:0),C00422,79.8
HMDB0005431,TG(16:1(9Z)/16:1(9Z)/20:0),C00422,139.5
HMDB0005433,TG(16:1(9Z)/16:1(9Z)/18:1(9Z)),C00422,57.1
HMDB0005434,TG(16:1(9Z)/16:1(9Z)/20:1(11Z)),C00422,214.8
HMDB0005435,"TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))",C00422,18.9
HMDB0005437,TG(16:1(9Z)/18:1(9Z)/20:0),C00422,21.5
HMDB0005438,TG(16:1(9Z)/18:1(9Z)/18:1(9Z)),C00422,214.8
HMDB0005439,TG(16:1(9Z)/18:1(9Z)/20:1(11Z)),C00422,69.1
HMDB0005440,"TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))",C00422,90.9
HMDB0005441,"TG(16:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",C00422,36.5
HMDB0005443,"TG(16:1(9Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))",C00422,23.5
HMDB0005444,"TG(16:1(9Z)/18:2(9Z,12Z)/20:0)",C00422,69.1
HMDB0005445,"TG(16:1(9Z)/18:2(9Z,12Z)/20:1(11Z))",C00422,68.5
HMDB0005446,"TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))",C00422,32
HMDB0005455,"TG(18:1(9Z)/18:1(9Z)/18:2(9Z,12Z))",C00422,68.5
HMDB0005456,"TG(18:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",C00422,23.5
HMDB0005461,"TG(18:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))",C00422,53.6
HMDB0005474,"TG(18:2(9Z,12Z)/18:2(9Z,12Z)/18:2(9Z,12Z))",C00422,36.5
HMDB0005768,Kyotorphin,C02993,0.00119
HMDB0005770,,,0.56
HMDB0005781,Glycitein,C14536,0.0005
HMDB0005782,Hesperetin,C01709,0.0222
HMDB0005784,,,0.16
HMDB0005789,,,16
HMDB0005792,,,0.54
HMDB0005794,Quercetin,C00389,0.0229
HMDB0005800,Luteolin,C01514,0.0999
HMDB0005801,Kaempferol,C05903,0.0106
HMDB0005807,Gallic acid,C01424,0.008
HMDB0005809,Eugenol,C10453,6.5
HMDB0005810,Eriodictyol,C05631,0.00069
HMDB0005821,beta-Cortol,C01235,0.18
HMDB0005831,Sorbitol-6-phosphate,C02810,
HMDB0005843,Allyl isothiocyanate,C19317,0.14
HMDB0005886,,,0.0025
HMDB0005923,,,0.2
HMDB0005949,Lithium,C15473,0.24
HMDB0005960,,,0.11
HMDB0005972,Tetrahydrodeoxycortisol,C14594,0.0333
HMDB0005973,Dimethyltryptamine,C08302,0.015
HMDB0005994,Hexanal,C02373,0.22
HMDB0005998,20-Hydroxyeicosatetraenoic acid,C14748,0.00177
HMDB0006007,Isopentanol,C07328,270567.0677
HMDB0006024,,,0
HMDB0006029,,,
HMDB0006031,11-Ketoetiocholanolone,C14552,0.00004
HMDB0006037,,,0.6
HMDB0006040,N2-Methylguanine,C04153,0.2
HMDB0006049,O-Phosphotyrosine,C06501,0.00073
HMDB0006059,20-Carboxy-leukotriene B4,C05950,0.001
HMDB0006070,,,0.0533
HMDB0006078,,,0.24
HMDB0006088,scyllo-Inositol,C06153,0.026
HMDB0006095,,,0.09
HMDB0006101,Enterolactone,C18165,0.0091
HMDB0006111,12-HETE,C14777,0.00422
HMDB0006112,Malondialdehyde,C19440,2.71
HMDB0006115,Benzaldehyde,C00261,1124.493
HMDB0006116,,,
HMDB0006117,,,1.26
HMDB0006119,,,0.011
HMDB0006203,,,0.0032
HMDB0006219,13-cis-Retinoic acid,C07058,0.003
HMDB0006224,17-beta-Estradiol-3-glucuronide,C05503,0.00002
HMDB0006236,Phenylacetaldehyde,C00601,205.301
HMDB0006245,,,0.00027
HMDB0006247,25-Hydroxycholesterol,C15519,0.02
HMDB0006270,,,
HMDB0006275,Dopamine 3-O-sulfate,C13690,0.0265
HMDB0006317,,,0.005
HMDB0006327,alpha-Tocotrienol,C14153,4.23
HMDB0006335,beta-Tocopherol,C14152,0.2
HMDB0006344,Phenylacetylglutamine,C04148,3.34
HMDB0006372,,,2
HMDB0006406,Ecgonine methyl ester,C12448,0.237
HMDB0006461,,,0.11
HMDB0006464,,,0.03
HMDB0006465,Leukotriene F4,C06462,0.00031
HMDB0006468,,,0.217
HMDB0006469,,,0.06
HMDB0006478,Isovaleraldehyde,C07329,0.11
HMDB0006483,D-Aspartic acid,C00402,16
HMDB0006528,Docosapentaenoic acid (22n-3),C16513,39.334
HMDB0006543,Debrisoquine,C13650,0.149
HMDB0006547,Stearidonic acid,C16300,0.408
HMDB0006552,Aflatoxin B1,C06800,0.0009
HMDB0006559,,,0.0076
HMDB0006566,,,506
HMDB0006567,,,121
HMDB0006569,,,151.56442
HMDB0006576,,,233
HMDB0006577,,,210
HMDB0006580,,,0.55
HMDB0006587,,,0.47
HMDB0006589,,,127.1424
HMDB0006593,,,170.70153
HMDB0006594,,,254.93169
HMDB0006600,,,125.39581
HMDB0006606,,,150.17
HMDB0006612,,,0.28
HMDB0006622,Difucosyllacto-N-hexaose a,G01889,0.68
HMDB0006695,,,0.87
HMDB0006705,,,189
HMDB0006706,,,93.702
HMDB0006707,Coenzyme Q9,C01967,0.29
HMDB0006725,,,80
HMDB0006726,"CE(20:4(5Z,8Z,11Z,14Z))",C02530,237
HMDB0006727,,,1.08
HMDB0006730,,,3
HMDB0006731,"CE(20:5(5Z,8Z,11Z,14Z,17Z))",C02530,39.07
HMDB0006733,"CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C02530,21.93
HMDB0006734,"CE(20:2(6Z,9Z))",C01290,4.28
HMDB0006736,"CE(20:3(8Z,11Z,14Z))",C02530,18.71
HMDB0006737,"CE(22:2(13Z,16Z))",C02530,0.53
HMDB0006740,CE(20:0),C02530,32
HMDB0006759,3a-Hydroxy-5b-pregnane-20-one,C05480,0.00016
HMDB0006766,Estriol-16-Glucuronide,C05504,9.8
HMDB0006809,Nicotinic acid ribonucleoside,C05841,
HMDB0006840,"4,4-Dimethyl-5a-cholesta-8-en-3b-ol",C03541,0.00012
HMDB0006841,5alpha-Cholest-8-en-3beta-ol,C03845,0.00013
HMDB0006899,,,
HMDB0006940,9(S)-HPODE,C14827,0.00514
HMDB0007011,,,0.58
HMDB0007012,,,0.231
HMDB0007013,,,1.42
HMDB0007014,,,1.07
HMDB0007015,,,1.07
HMDB0007016,,,0.415
HMDB0007017,,,0.06
HMDB0007018,,,0.06
HMDB0007020,,,1.37
HMDB0007021,,,3.87
HMDB0007022,,,2.82
HMDB0007023,,,1.65
HMDB0007024,,,1.65
HMDB0007025,,,0.173
HMDB0007026,,,0.173
HMDB0007028,,,0.69
HMDB0007029,,,1.24
HMDB0007030,,,4.06
HMDB0007031,,,5.28
HMDB0007032,,,0.961
HMDB0007033,,,0.961
HMDB0007035,,,0.003
HMDB0007036,,,0.013
HMDB0007040,,,0.231
HMDB0007041,,,0.032
HMDB0007042,,,1.07
HMDB0007043,,,0.415
HMDB0007044,,,0.415
HMDB0007045,,,0.06
HMDB0007049,,,3.87
HMDB0007050,,,2.82
HMDB0007051,,,1.65
HMDB0007052,,,0.173
HMDB0007053,,,0.173
HMDB0007057,,,1.24
HMDB0007058,,,4.06
HMDB0007059,,,8.1
HMDB0007060,,,0.961
HMDB0007064,,,0.013
HMDB0007065,,,0.022
HMDB0007068,,,0.58
HMDB0007095,,,0.58
HMDB0007096,,,0.231
HMDB0007098,DG(16:0/16:0/0:0),C00165,1.42
HMDB0007099,DG(16:0/16:1(9Z)/0:0),C00165,1.07
HMDB0007100,DG(16:0/18:0/0:0),C00165,1.37
HMDB0007101,DG(16:0/18:1(11Z)/0:0),C00165,3.87
HMDB0007102,DG(16:0/18:1(9Z)/0:0),C13861,3.87
HMDB0007103,"DG(16:0/18:2(9Z,12Z)/0:0)",C00165,2.82
HMDB0007104,,,1.65
HMDB0007105,,,1.65
HMDB0007106,,,0.173
HMDB0007107,,,0.69
HMDB0007108,DG(16:0/20:1(11Z)/0:0),C00165,1.24
HMDB0007109,,,4.06
HMDB0007110,,,8.1
HMDB0007111,,,8.1
HMDB0007112,"DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)",C00165,5.28
HMDB0007113,,,5.28
HMDB0007114,,,0.961
HMDB0007115,,,0.003
HMDB0007116,,,0.013
HMDB0007117,,,0.022
HMDB0007118,,,0.94
HMDB0007119,,,1.61
HMDB0007120,,,1.61
HMDB0007121,,,1.137
HMDB0007124,,,0.231
HMDB0007125,,,0.032
HMDB0007127,,,1.07
HMDB0007128,,,0.415
HMDB0007129,,,3.87
HMDB0007130,,,2.82
HMDB0007131,DG(16:1(9Z)/18:1(9Z)/0:0),C00165,2.82
HMDB0007132,"DG(16:1(9Z)/18:2(9Z,12Z)/0:0)",C00165,1.65
HMDB0007133,,,0.173
HMDB0007134,,,0.173
HMDB0007136,,,1.24
HMDB0007137,,,4.06
HMDB0007138,,,8.1
HMDB0007139,,,5.28
HMDB0007140,,,5.28
HMDB0007141,,,0.961
HMDB0007142,,,0.961
HMDB0007144,,,0.013
HMDB0007145,,,0.022
HMDB0007146,,,0.28
HMDB0007147,,,1.61
HMDB0007148,,,1.137
HMDB0007149,,,1.137
HMDB0007153,,,1.42
HMDB0007154,,,1.07
HMDB0007156,DG(18:0/16:0/0:0),C00165,1.37
HMDB0007157,,,3.87
HMDB0007158,,,0.69
HMDB0007159,,,1.24
HMDB0007160,,,1.24
HMDB0007161,,,4.06
HMDB0007162,,,8.1
HMDB0007163,,,8.1
HMDB0007164,,,5.28
HMDB0007165,,,0.003
HMDB0007166,DG(18:0/20:1(11Z)/0:0),C00165,0.013
HMDB0007167,,,0.022
HMDB0007168,,,0.28
HMDB0007169,,,0.28
HMDB0007170,"DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)",C00165,0.94
HMDB0007171,,,0.94
HMDB0007172,,,1.61
HMDB0007176,,,0.036
HMDB0007179,,,0.254
HMDB0007182,,,1.07
HMDB0007183,,,0.415
HMDB0007185,,,3.87
HMDB0007186,,,2.82
HMDB0007187,,,1.24
HMDB0007188,,,4.06
HMDB0007189,,,4.06
HMDB0007190,,,8.1
HMDB0007191,,,5.28
HMDB0007192,,,5.28
HMDB0007193,,,0.961
HMDB0007194,,,0.013
HMDB0007195,,,0.022
HMDB0007196,,,0.28
HMDB0007197,,,0.94
HMDB0007198,,,0.94
HMDB0007199,,,1.61
HMDB0007200,,,1.61
HMDB0007201,,,1.137
HMDB0007206,,,0.254
HMDB0007207,,,0.254
HMDB0007208,,,0.31
HMDB0007211,,,1.07
HMDB0007212,,,0.415
HMDB0007214,,,3.87
HMDB0007215,,,2.82
HMDB0007216,,,1.24
HMDB0007217,,,4.06
HMDB0007218,,,4.06
HMDB0007219,,,8.1
HMDB0007220,,,5.28
HMDB0007221,,,5.28
HMDB0007222,,,0.961
HMDB0007223,DG(18:1(9Z)/20:0/0:0),C00165,0.013
HMDB0007224,DG(18:1(9Z)/20:1(11Z)/0:0),C00165,0.022
HMDB0007225,,,0.28
HMDB0007226,,,0.94
HMDB0007227,,,0.94
HMDB0007228,,,1.61
HMDB0007229,,,1.61
HMDB0007230,,,1.137
HMDB0007235,,,0.254
HMDB0007236,,,0.254
HMDB0007237,,,0.31
HMDB0007240,,,0.415
HMDB0007241,,,0.06
HMDB0007243,,,2.82
HMDB0007244,,,1.65
HMDB0007245,,,4.06
HMDB0007246,,,8.1
HMDB0007247,,,8.1
HMDB0007248,"DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)",C00165,5.28
HMDB0007249,,,0.961
HMDB0007250,,,0.961
HMDB0007252,,,0.022
HMDB0007253,,,0.28
HMDB0007254,,,0.94
HMDB0007255,,,1.61
HMDB0007256,,,1.61
HMDB0007257,"DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)",C00165,1.137
HMDB0007258,,,1.137
HMDB0007262,,,0.036
HMDB0007263,,,0.254
HMDB0007264,,,0.31
HMDB0007265,,,0.31
HMDB0007269,,,0.06
HMDB0007272,,,1.65
HMDB0007273,,,0.173
HMDB0007274,,,8.1
HMDB0007275,,,5.28
HMDB0007276,,,5.28
HMDB0007277,,,0.961
HMDB0007281,,,0.28
HMDB0007282,,,0.94
HMDB0007283,,,1.61
HMDB0007284,,,1.137
HMDB0007285,,,1.137
HMDB0007290,,,0.036
HMDB0007292,,,0.31
HMDB0007298,,,0.06
HMDB0007301,,,1.65
HMDB0007302,,,0.173
HMDB0007303,,,8.1
HMDB0007304,,,5.28
HMDB0007305,,,5.28
HMDB0007306,,,0.961
HMDB0007310,,,0.28
HMDB0007311,,,0.94
HMDB0007312,,,1.61
HMDB0007313,,,1.137
HMDB0007314,,,1.137
HMDB0007319,,,0.036
HMDB0007321,,,0.31
HMDB0007330,,,0.173
HMDB0007332,,,5.28
HMDB0007333,,,0.961
HMDB0007334,,,0.961
HMDB0007339,,,0.94
HMDB0007340,,,1.61
HMDB0007341,,,1.137
HMDB0007347,,,0.036
HMDB0007349,,,0.254
HMDB0007356,,,1.37
HMDB0007357,,,3.87
HMDB0007359,,,0.69
HMDB0007360,,,1.24
HMDB0007361,,,0.003
HMDB0007362,,,0.013
HMDB0007363,,,0.013
HMDB0007364,,,0.022
HMDB0007365,,,0.28
HMDB0007366,,,0.28
HMDB0007367,,,0.94
HMDB0007373,,,0.036
HMDB0007374,,,0.036
HMDB0007385,,,3.87
HMDB0007386,,,2.82
HMDB0007388,,,1.24
HMDB0007389,,,4.06
HMDB0007390,,,0.013
HMDB0007391,,,0.022
HMDB0007392,,,0.022
HMDB0007393,,,0.28
HMDB0007394,,,0.94
HMDB0007395,,,0.94
HMDB0007396,,,1.61
HMDB0007400,,,0.036
HMDB0007401,,,0.036
HMDB0007404,,,0.254
HMDB0007414,,,2.82
HMDB0007415,,,1.65
HMDB0007417,,,4.06
HMDB0007418,,,8.1
HMDB0007419,,,0.022
HMDB0007420,,,0.28
HMDB0007421,,,0.28
HMDB0007422,,,0.94
HMDB0007423,,,1.61
HMDB0007424,,,1.61
HMDB0007425,,,1.137
HMDB0007428,,,0.036
HMDB0007431,,,0.254
HMDB0007432,,,0.254
HMDB0007433,,,0.31
HMDB0007443,,,1.65
HMDB0007444,,,0.173
HMDB0007446,,,8.1
HMDB0007447,,,5.28
HMDB0007448,,,0.28
HMDB0007449,,,0.94
HMDB0007450,,,0.94
HMDB0007451,,,1.61
HMDB0007452,,,1.137
HMDB0007453,,,1.137
HMDB0007456,,,0.036
HMDB0007458,,,0.254
HMDB0007459,,,0.254
HMDB0007460,,,0.31
HMDB0007461,,,0.31
HMDB0007472,,,1.65
HMDB0007473,,,0.173
HMDB0007475,,,8.1
HMDB0007476,,,5.28
HMDB0007477,,,0.28
HMDB0007478,,,0.94
HMDB0007479,,,0.94
HMDB0007480,,,1.61
HMDB0007481,,,1.137
HMDB0007482,,,1.137
HMDB0007485,,,0.036
HMDB0007487,,,0.254
HMDB0007488,,,0.254
HMDB0007489,,,0.31
HMDB0007490,,,0.31
HMDB0007501,,,0.173
HMDB0007504,,,5.28
HMDB0007505,,,0.961
HMDB0007506,,,0.94
HMDB0007507,,,1.61
HMDB0007508,,,1.61
HMDB0007509,,,1.137
HMDB0007513,,,0.036
HMDB0007515,,,0.254
HMDB0007516,,,0.31
HMDB0007517,,,0.31
HMDB0007530,,,0.173
HMDB0007533,,,5.28
HMDB0007534,,,0.961
HMDB0007535,,,0.94
HMDB0007536,,,1.61
HMDB0007537,,,1.61
HMDB0007538,,,1.137
HMDB0007542,,,0.036
HMDB0007544,,,0.254
HMDB0007545,,,0.31
HMDB0007546,,,0.31
HMDB0007562,,,0.961
HMDB0007564,,,1.61
HMDB0007565,,,1.137
HMDB0007566,,,1.137
HMDB0007572,,,0.254
HMDB0007573,,,0.31
HMDB0007588,,,0.69
HMDB0007589,,,1.24
HMDB0007591,,,0.003
HMDB0007592,,,0.013
HMDB0007599,,,0.036
HMDB0007617,,,1.24
HMDB0007618,,,4.06
HMDB0007620,,,0.013
HMDB0007621,,,0.022
HMDB0007626,,,0.036
HMDB0007627,,,0.036
HMDB0007646,,,4.06
HMDB0007647,,,8.1
HMDB0007649,,,0.022
HMDB0007650,,,0.28
HMDB0007654,,,0.036
HMDB0007657,,,0.254
HMDB0007675,,,5.28
HMDB0007676,,,0.961
HMDB0007678,,,0.94
HMDB0007679,,,1.61
HMDB0007680,,,0.036
HMDB0007683,,,0.254
HMDB0007684,,,0.31
HMDB0007685,,,0.31
HMDB0007704,,,0.961
HMDB0007707,,,1.61
HMDB0007708,,,1.137
HMDB0007710,,,0.254
HMDB0007711,,,0.254
HMDB0007712,,,0.31
HMDB0007733,,,0.961
HMDB0007736,,,1.61
HMDB0007737,,,1.137
HMDB0007739,,,0.254
HMDB0007740,,,0.254
HMDB0007741,,,0.31
HMDB0007765,,,1.137
HMDB0007767,,,0.254
HMDB0007768,,,0.31
HMDB0007769,,,0.31
HMDB0007791,,,0.003
HMDB0007792,,,0.013
HMDB0007820,,,0.013
HMDB0007821,,,0.022
HMDB0007858,PA(16:0/18:1(11Z)),C00416,0.147
HMDB0007859,PA(16:0/18:1(9Z)),C00416,0.147
HMDB0007860,"PA(16:0/18:2(9Z,12Z))",C00416,0.144
HMDB0007861,"PA(18:0/18:2(9Z,12Z))",C00416,0.223
HMDB0007862,PA(18:1(11Z)/18:1(11Z)),C00416,0.223
HMDB0007863,,,0.223
HMDB0007864,,,0.223
HMDB0007865,,,0.223
HMDB0007867,,,5.8
HMDB0007869,,,2.26
HMDB0007871,,,13.87
HMDB0007872,,,10.42
HMDB0007873,,,16.6
HMDB0007874,,,4.02
HMDB0007875,,,0.49
HMDB0007876,,,0.49
HMDB0007879,PC(14:0/20:1(11Z)),C00157,242.2
HMDB0007880,"PC(14:0/20:2(11Z,14Z))",C00157,670
HMDB0007881,,,41
HMDB0007882,"PC(14:0/20:3(8Z,11Z,14Z))",C00157,15.9
HMDB0007883,,,4.5
HMDB0007884,"PC(14:0/20:4(8Z,11Z,14Z,17Z))",C00157,1.87
HMDB0007886,PC(14:0/22:0),C00157,11
HMDB0007887,PC(14:0/22:1(13Z)),C00157,100
HMDB0007888,,,250.7
HMDB0007889,,,320
HMDB0007890,,,95
HMDB0007891,,,8.39
HMDB0007892,,,1.16
HMDB0007893,,,2.21
HMDB0007894,,,1.23
HMDB0007895,,,2.99
HMDB0007896,,,13.6
HMDB0007897,PC(14:0/P-18:1(11Z)),C00157,16.6
HMDB0007898,PC(14:0/P-18:1(9Z)),C00157,16.6
HMDB0007899,,,2.16
HMDB0007903,,,0.006
HMDB0007904,,,16.6
HMDB0007905,,,2.34
HMDB0007906,,,2.34
HMDB0007907,,,0.38
HMDB0007911,PC(14:1(9Z)/20:0),C00157,173
HMDB0007912,PC(14:1(9Z)/20:1(11Z)),C00157,315
HMDB0007913,,,11
HMDB0007914,"PC(14:1(9Z)/20:3(5Z,8Z,11Z))",C00157,0.82
HMDB0007915,,,0.82
HMDB0007919,,,40.8
HMDB0007920,,,212
HMDB0007921,,,106
HMDB0007922,,,8.39
HMDB0007923,,,1.16
HMDB0007924,,,1.16
HMDB0007926,,,1.23
HMDB0007929,,,16.6
HMDB0007930,,,4.02
HMDB0007931,,,4.02
HMDB0007934,,,2.99
HMDB0007965,,,2.99
HMDB0007969,,,16.6
HMDB0007971,,,173
HMDB0007972,,,173
HMDB0007973,,,315
HMDB0007974,,,11
HMDB0007975,,,11
HMDB0007976,,,0.82
HMDB0007977,,,1.38
HMDB0007978,,,40.8
HMDB0007979,,,212
HMDB0007980,,,106
HMDB0007981,"PC(16:0/20:3(8Z,11Z,14Z))",C00157,106
HMDB0007982,,,130
HMDB0007983,,,130
HMDB0007984,"PC(16:0/20:5(5Z,8Z,11Z,14Z,17Z))",C00157,8.39
HMDB0007985,,,3.48
HMDB0007986,,,1.23
HMDB0007988,,,76.6
HMDB0007989,,,36.2
HMDB0007990,,,36.2
HMDB0007991,,,60.6
HMDB0007993,,,0.35
HMDB0007994,,,15.3
HMDB0007996,,,105
HMDB0007997,,,105
HMDB0007999,,,0.01
HMDB0008001,,,12.1
HMDB0008002,PC(16:1(9Z)/16:1(9Z)),C00157,0.66
HMDB0008003,PC(16:1(9Z)/18:0),C00157,105
HMDB0008004,PC(16:1(9Z)/18:1(11Z)),C00157,84.2
HMDB0008005,PC(16:1(9Z)/18:1(9Z)),C00157,84.2
HMDB0008006,,,2.8
HMDB0008007,,,0.52
HMDB0008008,,,0.52
HMDB0008010,,,19.8
HMDB0008011,,,44.5
HMDB0008012,,,63.7
HMDB0008013,,,135
HMDB0008014,,,135
HMDB0008015,,,5.2
HMDB0008016,,,5.2
HMDB0008017,,,1.16
HMDB0008018,,,1.23
HMDB0008020,,,36.1
HMDB0008021,,,21.8
HMDB0008022,,,60.6
HMDB0008024,,,60.6
HMDB0008025,,,0.35
HMDB0008026,,,0.25
HMDB0008027,,,16.6
HMDB0008028,PC(16:1(9Z)/P-18:0),C00157,105
HMDB0008029,PC(16:1(9Z)/P-18:1(11Z)),C00157,84.2
HMDB0008030,,,84.2
HMDB0008031,,,15.3
HMDB0008032,,,16.6
HMDB0008035,,,105
HMDB0008036,,,1.55
HMDB0008037,,,19.8
HMDB0008038,,,19.8
HMDB0008039,,,44.5
HMDB0008040,,,63.7
HMDB0008041,,,63.7
HMDB0008042,,,135
HMDB0008043,,,3.48
HMDB0008044,,,1.23
HMDB0008046,,,36.1
HMDB0008047,,,36.1
HMDB0008048,,,90.4
HMDB0008049,,,90.4
HMDB0008050,,,21.8
HMDB0008052,,,0.35
HMDB0008053,,,0.25
HMDB0008054,,,2.59
HMDB0008055,,,22
HMDB0008056,,,13.85
HMDB0008057,,,22.6
HMDB0008058,,,0.65
HMDB0008059,,,0.32
HMDB0008061,,,1.55
HMDB0008062,,,19.8
HMDB0008063,,,19.8
HMDB0008064,,,16.6
HMDB0008065,PC(18:1(11Z)/14:1(9Z)),C00157,4.02
HMDB0008067,PC(18:1(11Z)/16:0),C00157,242.2
HMDB0008068,PC(18:1(11Z)/16:1(9Z)),C00157,84.2
HMDB0008069,PC(18:1(11Z)/18:0),C00157,19.8
HMDB0008070,PC(18:1(11Z)/18:1(11Z)),C00157,44.5
HMDB0008071,PC(18:1(11Z)/18:1(9Z)),C00157,44.5
HMDB0008072,,,63.7
HMDB0008073,,,135
HMDB0008074,,,135
HMDB0008075,,,5.2
HMDB0008076,,,1.23
HMDB0008078,,,47.3
HMDB0008079,,,90.4
HMDB0008080,,,90.4
HMDB0008081,,,21.8
HMDB0008082,,,21.8
HMDB0008083,,,60.6
HMDB0008084,,,0.45
HMDB0008085,,,0.36
HMDB0008086,,,0.47
HMDB0008087,,,13.85
HMDB0008088,,,27.8
HMDB0008089,,,27.8
HMDB0008091,PC(18:1(11Z)/24:0),C00157,0.32
HMDB0008092,PC(18:1(11Z)/24:1(15Z)),C00157,0.25
HMDB0008093,,,242.2
HMDB0008094,,,19.8
HMDB0008095,,,44.5
HMDB0008096,,,44.5
HMDB0008097,,,16.6
HMDB0008098,,,4.02
HMDB0008100,,,242.2
HMDB0008101,,,413.3
